seq_id,domain,phylum,class,order,family,genus,species
KJ966859.1,Eukaryota,Arthropoda,Insecta,Coleoptera,Monotomidae,Rhizophagus,Rhizophagus depressus
KF876950.1,Eukaryota,Arthropoda,Arachnida,Scorpiones,Vaejovidae,Paruroctonus,Paruroctonus boreus
DQ200337.1,Eukaryota,Arthropoda,Insecta,Phthiraptera,Trichodectidae,Geomydoecus,Geomydoecus perotensis
AY896909.1,Eukaryota,Arthropoda,Arachnida,Araneae,Antrodiaetidae,Antrodiaetus,Antrodiaetus unicolor
KT764043.1,Eukaryota,Arthropoda,Arachnida,Scorpiones,Euscorpiidae,Euscorpius,Euscorpius sp. Canakkale
KR861958.1,Eukaryota,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Hemiculter,Hemiculter bleekeri
KM546755.1,Eukaryota,Arthropoda,Insecta,Lepidoptera,Noctuidae,Euplexia,Euplexia benesimilis
KJ963599.1,Eukaryota,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Cassida,Cassida murraea
KY269402.1,Eukaryota,Arthropoda,Arachnida,Araneae,Thomisidae,Ozyptila,Ozyptila brevipes
HM056753.1,Eukaryota,Arthropoda,Arachnida,Opiliones,Triaenonychidae,Sclerobunus,Sclerobunus robustus
JF434935.1,Eukaryota,Chordata,Actinopteri,Labriformes,Labridae,Cirrhilabrus,Cirrhilabrus exquisitus
JQ841392.1,Eukaryota,Chordata,Actinopteri,Labriformes,Labridae,Sparisoma,Sparisoma chrysopterum
JX261568.1,Eukaryota,Chordata,Actinopteri,Carangiformes,Carangidae,Selar,Selar crumenophthalmus
KR070842.1,Eukaryota,Arthropoda,Insecta,Diptera,Drosophilidae,Scaptodrosophila,Scaptodrosophila protenipenis
KP646695.1,Eukaryota,Arthropoda,Arachnida,Araneae,Linyphiidae,Oreonetides,Oreonetides rectangulatus
AM921864.1,Eukaryota,Arthropoda,Arachnida,Mesostigmata,Dermanyssidae,Dermanyssus,Dermanyssus gallinae
KC336471.1,Eukaryota,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Galerucella,Galerucella sagittariae
